Cluster_ID;Descricao_Item;Preco_Pago;Score_Risco;Preco_Justo_Estimado;Teto_Estatistico;Quantas_Vezes_Mais_Caro;Perc_Excesso;ano;unidade_gestora
10;02 copias digital color a4;1524.00;30.88;64.72;181.78;23.50;738.38;2016;
5;compra para enfermagem;5265.00;30.75;321.78;343.00;16.40;1434.99;2020;pgr
10;rejunte quartzolit pto 2kg x r 4;855.00;27.20;36.36;181.78;23.50;370.35;2016;
4;pequeno valor e necessidade urgente por se tratar de item de campanha do combate ao racismo promovida pelo mpf;1700.00;26.59;74.59;355.00;22.80;378.87;2020;prro
4;valor de pequeno vulto;1470.00;24.84;67.66;355.00;21.70;314.08;2021;prro
12;cabinho flex60mm 750v pt 400;780.00;23.60;38.17;185.55;20.40;320.37;2016;
15;aquisicao de correia sincronizadora l050 12 mm revestimento teflon marca ppa para porta automatica  torre 1;1080.00;23.42;53.00;268.50;20.40;302.23;2020;prsc
16;servico de reparo de vazamento em teto;1500.00;23.25;76.15;330.00;19.70;354.55;2020;prba
10;cimento cola quartzolit aci 20kg 5sc x r 9;814.00;23.08;41.54;181.78;19.60;347.79;2016;
12;compra emergencial de 08 unidades de termometros para enfermagem;1671.92;22.91;112.26;185.55;14.90;801.06;2021;pgr
9;torneira pvc herc para lavatorio 11951 2un x r 9;815.00;22.58;41.59;204.85;19.60;297.85;2016;
2;mascaras  resppff2 azul;1199.00;22.24;59.71;381.85;20.10;214.00;2020;pgr
15;servicos de manutencao com fornecimento de materiais das portas de vidros da entrada principal da prm e de acesso a guarita;1508.30;21.52;89.34;268.50;16.90;461.75;2019;prrs
12;abracadeira de nylon 4;838.00;21.42;46.88;185.55;17.90;351.63;2016;
2;compra de material de protecao individual para o gabinete medico dr roberto;1166.60;21.06;61.35;381.85;19.00;205.51;2020;prr4 regiao
10;aquisicao de seis tubos de cola duas latas de tinta branco neve com 18 litros cada e sete roda teto sanca de isopor de 30x30mm por 2 metros utilizacao acabamento sala de monitoramento da prpr;935.40;20.85;56.10;181.78;16.70;414.58;2018;
13;aquisicao de copias de chaves para atender a demanda do agc;826.00;20.78;45.49;230.50;18.20;258.35;2020;prrn
17;referente a instalacao de peliculas nas guaritas da vigilancia;1295.00;20.42;70.67;415.15;18.30;211.94;2019;prrs
10;compra emergencial para odontologia lixa de polimento com valor unid de r 16600 cada;1383.00;20.31;101.29;181.78;13.70;660.81;2021;pgr
14;substituicao de porta de madeira na prmsjrmg e seus acessorios;1417.79;19.88;82.57;384.90;17.20;268.35;2021;prmg
14;substituicao de porta de madeira da prmsjrmg e acessorios que a acompanham;1417.79;19.88;82.57;384.90;17.20;268.35;2021;prmg
2;protecao contra a covid;1695.00;19.34;106.28;381.85;15.90;343.89;2021;prrr
17;com a recente reforma a sala de licitacoes ficou com dois vao de janelas mas os dois fixos junto aos pilares nao dispondo de ventilacao natural o servico proposto e paraadaptar um dos vaos fixos para maxar disponibilizando assim ventilacao natural para a sala;1500.00;19.31;89.59;415.15;16.70;261.32;2021;prr1 regiao
14;manutencao das persianas;998.00;18.99;57.22;384.90;17.40;159.29;2018;
6;compra de materiais de limpeza para atender a demanda da prrj devido ao nao cumprimento do contrato pela empresa terceirizada graupp responsavel pelos servicos dessa natureza;1900.28;18.80;127.02;396.03;15.00;379.83;2018;
12;aquisicao de 11 onze unidades de requadro para alcapao 400mm;650.10;18.60;40.27;185.55;16.10;250.36;2019;prr4 regiao
14;protetor acrilico para sala de atendimento ao cidadao;1300.00;18.48;80.98;384.90;16.10;237.75;2021;prac
16;recolocacao moldura em granito elevaores mezanino torre 1;1170.00;18.05;75.55;330.00;15.50;254.55;2021;prsc
10;aquisicao de capa para processo;800.00;17.70;56.04;181.78;14.30;340.09;2016;
3;autorizado pela secretaria estadual apos verificacao de disponibilidade orcamentaria pela seof;1560.00;17.61;106.36;399.45;14.70;290.54;2020;prro
16;material para manutencao dos postes de iluminacao externa do patio de estacionamento da prm pelotas;1154.60;17.50;77.19;330.00;15.00;249.88;2019;prrs
1;aluguel de um veiculo tracado 4x4 com condutor nos dias 2110 e 2410 no trecho de santa cruz do arari x vila joviliano pantoja rio mocoons incluindo despesas com combustivel;1101.12;17.50;106.68;134.35;10.30;719.59;2019;prpa
10;lixas tintas suvinil e rolo;705.19;17.38;48.78;181.78;14.50;287.94;2016;
15;substituicao de portas na sede da prsc;1070.00;17.29;75.08;268.50;14.30;298.51;2019;prsc
5;compra para enfermagem;3030.00;17.23;321.78;343.00;9.40;783.38;2020;pgr
10;zarcofer cola super bonder e arame galvan;528.40;16.91;35.33;181.78;15.00;190.68;2016;
14;reforma da escada lateral do edificiosede que estava apresentando risco de acidente;1335.00;16.77;93.07;384.90;14.30;246.84;2019;prr1 regiao
10;tijolo 6 furos 15un x r 0;743.00;16.69;54.44;181.78;13.60;308.74;2016;
15;p realizar conserto da porta de acesso a selogprsc que em razao do dano na mola de piso que la se encontrava nao estava perimitindo que a porta ficasse adequadamente trancada;970.00;16.61;69.42;268.50;14.00;261.27;2020;prsc
2;aquisicao de 13 tapetes sanitizantes para uso em acessos da prsc;1287.00;16.27;92.53;381.85;13.90;237.04;2021;prsc
6;coador flanela nr 10 reforcado;690.00;16.04;45.06;396.03;15.30;74.23;2016;
3;necessidade de automatizar os portoes da unidade do mpfmpt em jiparana;1400.00;15.90;104.53;399.45;13.40;250.48;2021;prro
1;recarga dos extintores da procuradoria da republica no municipio de jiparana;1100.00;15.89;126.40;134.35;8.70;718.76;2021;prro
3;necessidade de adquirir divisoria em acrilico para o atendimento ao publico;1150.00;15.78;82.52;399.45;13.90;187.90;2021;prro
2;aquisicao necessaria para atender demanda da prmsinop visto que nao havia estoque em cuiaba;828.00;15.77;56.65;381.85;14.60;116.84;2021;prmt
11;"equipo macrogotas inj lat cfiltro
fita micropore 50mmx10 m";488.00;15.71;34.77;180.00;14.00;171.11;2016;
16;p substituicao de torneira quebrada no banheiro adaptado do 5 andar da torre 1 da prsc;855.00;15.69;60.78;330.00;14.10;159.09;2020;prsc
5;segundo  dados  do  relatorio  de  avaliacao  cgu  de  8  de  junho  de  2020disponivel  em httpsauditoriacgugovbrdownload14170pdf  o  custo  medio  de  uma dispensa de licitacao e de r 440090 quatro mil e quatrocentos reais e noventa centavosora se em media de acordo com o referido estudo o custo  operacional de movimentacao da maquina publica para realizar uma dispensa de licitacao tem valor medio de r 440090 nao se mostra eficiente fazer mais com o menor custo possivel  principio constitucional previsto no caput do art 37 da cf a contratacao via dispensa de licitacao do servico em tela cuja estimativa total de gasto e de apenas r 126700;1197.00;15.19;94.54;343.00;12.70;248.98;2020;prro
2;aquisicao de epis para uso na prm blumenau;1122.00;15.14;84.69;381.85;13.20;193.83;2020;prsc
4;necessidade de limpeza devido devido ao tempo de utilizacao e a sujeira ocasionada pela realizacao de reformas;1557.00;15.09;133.14;355.00;11.70;338.59;2021;prr1 regiao
3;compra emergencial para campanha de setembro amarelo desta ssis;795.60;14.69;58.24;399.45;13.70;99.17;2018;
14;laminados e acessorios para fabricacao da bancada do restaurante da pr rs;800.50;14.48;59.79;384.90;13.40;107.98;2019;prrs
11;etiquetagem de identificacao das fitas lto6;900.00;14.30;87.30;180.00;10.30;400.00;2020;prrj
16;compra de tapete sintetico para o vestiario masculino e feminino localizado na sobre loja para atender a seguranca dos usuarios deste local;888.31;14.29;70.30;330.00;12.60;169.18;2017;
18;manutencao predial;729.70;14.19;60.71;228.78;12.00;218.96;2021;prr5 regiao
4;aquisicao de material de biosseguranca para atendimento da prms e prms vinculadas em conformidade com a nota tecnica n 0012020seprms;2548.20;14.08;324.31;355.00;7.90;617.80;2020;prms
4;compra de material necessario nao constante em almoxarifado da pres;790.00;14.03;61.65;355.00;12.80;122.54;2021;pres
16;para substituicao de torneira adaptada para cadeirate do banheiro da recepcao da torre 1 da prsc que estava danificada;800.00;14.02;63.58;330.00;12.60;142.42;2020;prsc
4;pequeno valor;850.00;13.99;67.66;355.00;12.60;139.44;2021;prro
17;compra e instalacao de barreira de acrilico na recepcao e sala de atendimento ao cidadao com o objetivo de conter a disseminacao do covid19;1250.00;13.81;105.83;415.15;11.80;201.10;2021;prro
8;aquisicao de vinte caixas de papel toalha para uso nos banheiros da prpr;648.06;13.81;53.13;248.54;12.20;160.74;2018;
1;atender as demandas de contratacoes referente a servicos prestados na sala cedida pela justica federal a  prm guajara mirim;800.00;13.75;90.39;134.35;8.80;495.46;2018;
17;servico de manutencao e reparos no sistema de cftv necessarios para a garantia da seguranca organica da unidade;1176.00;13.73;98.54;415.15;11.90;183.27;2021;prro
2;aquisicao da sinalizacao necessaria para o retorno das atividades presencias na prse;1431.14;13.65;131.67;381.85;10.90;274.79;2020;prse
1;itens adquiridos conforme demanda da caprsc para disponibilizacao a cticprsc e ao procurador da republica mario roberto dos santos;745.00;13.65;81.96;134.35;9.10;454.52;2020;prsc
17;aquisicao de materiais necessarios para conclusao da instalacao dos aparelhos de ar condicionado do 11 pavimento;1065.00;13.57;88.50;415.15;12.00;156.53;2018;
0;"pb toyota hilux 2005
cola pb sikaflex 258 ct 310 ml";590.00;13.50;44.95;421.55;13.10;39.96;2016;
1;aquisicao de duas passagens em camarote fechado para deslocamento dos servidores maspoli tadeu ramos e carlos azzi ao municipio de bagreno trecho de volta bagrebelem;580.00;13.32;58.11;134.35;10.00;331.71;2018;
7;realizacao de recarga de gas em 06 equipamentos de arcondicionado que foram instalados na nova sede da prmbage;1350.00;13.32;138.53;292.50;9.70;361.54;2019;prrs
15;reposicao de mola hidraulica da porta de vidro da entrada principal do predio;800.00;13.28;70.73;268.50;11.30;197.95;2017;
2;dar cumprimento ao protocolo de seguranca para retorno das atividades na prse profilaxia do virus sarscov2causador da convid 19;1400.00;13.27;132.36;381.85;10.60;266.64;2020;prse
12;"tubo elet 25mm 3mt tigre 
curva eletroduto 25mm tigre
paraf ciser 48x50 pmadeira
bucha parafusar 08ivasa
cx de luz 4x2 tigre amarela
placa cega 4x2 blanc fame
haste de aterramento 150mt
fita isolante 10mt tigre
cabo pp 2x15 sil
disj monof 32a din lorenzete
disj monof 25a din lorenzete
cabo flexsil 400mm 10 sil
conector phaste inco";422.75;13.18;35.56;185.55;11.90;127.84;2016;
16;prestacao de servicos de desmontagem e remontagem de divisorias no 9 andar do edificio sede da prpr;1150.00;13.08;108.14;330.00;10.60;248.48;2019;prpr
14;colocacao de fotografia de procuradora chefe regional da gestao anterior  conforme tradicao em moldura para instalacao na galeria de fotos dos procuradores chefes localizada no 12 andar da prr1;950.00;13.07;82.07;384.90;11.60;146.82;2021;prr1 regiao
12;"mudas eugenia matozi  57 unidades
mudas amelia patens  11 unidades";621.00;13.05;58.01;185.55;10.70;234.68;2016;
10;360 tubo soldado 50 mm krona04 joelhos90 solv 50 mm krona 01 cola pvc 175 gr krona c pincel 06 abracadeira tipo u 112 perfilaco 12 parafusos sext r soberba bucha c anel fix cap sold 50 mm marrom krona;340.00;12.97;28.08;181.78;12.10;87.04;2016;
9;"resina 3m filtk bulk fill flow
riva lc kit";774.00;12.88;76.51;204.85;10.10;277.84;2016;
16;consertar vazamento de agua no terreno com a substituicao de encanamento 15 metros de cano;757.50;12.80;66.04;330.00;11.50;129.55;2021;prrn
13;item para afixacao de documento comprobatorio da certificacao de 21 oficios da prrj e prms bem como para afixacao de certificado de desempenho  de 8 areas administrativas da prrj e 1 certificado iso 90012015 da sac prrj;747.00;12.74;71.45;230.50;10.50;224.08;2019;prrj
8;lata de tinta esmalte;900.00;12.72;88.68;248.54;10.10;262.11;2016;
12;plotagem mono;717.60;12.67;73.47;185.55;9.80;286.74;2016;
10;5 pares de placa oficial brasil;700.00;12.65;71.21;181.78;9.80;285.08;2016;
1;assistencia tecnica;800.00;12.45;106.50;134.35;7.50;495.46;2016;
8;1 um galao de 3;610.00;12.45;55.40;248.54;11.00;145.43;2016;
14;servico de conserto do projetor datashow que atende as palestras  reunioes no auditorio principal da prrj;710.00;12.44;61.36;384.90;11.60;84.46;2018;
15;aquisicao de porta de vidro para instalacao no ardar da informatica do predio sede da prpr;890.00;12.41;88.05;268.50;10.10;231.47;2021;prpr
12;"carimbo automatico 38x144911
carimbo automatico 58x224913
borracha para carimbo automatico";534.00;12.38;51.08;185.55;10.50;187.79;2016;
12;reposicao de lampadas luminarias pilhas canos flexiveis sensores cola para canos;624.66;12.37;62.64;185.55;10.00;236.65;2021;prsc
6;aquisicao de 15 pacotes de toalha de papel para atender a esta prrj em razao da empresa contratada nao ter efetuado a entrega desse material;959.55;12.32;88.22;396.03;10.90;142.29;2018;
17;para sistema eletronico de alarmes e trancas;1140.00;12.25;108.64;415.15;10.50;174.60;2020;prr4 regiao
2;para possibilitar higienizacaodas maos das pessoas que ingressam na prsc;900.00;12.16;83.03;381.85;10.80;135.69;2020;prsc
6;pen drive 8gb;919.00;12.12;85.04;396.03;10.80;132.05;2016;
12;corrente 7mm e curto dtools  0;522.00;12.11;50.46;185.55;10.30;181.33;2016;
14;demanda urgente por reforma de sofa do hall da recepcao do gabinete do procuradorchefe tendo em vista que o tecido repentinamente rasgouse no  centro do sofa necessitando de conserto;1000.00;12.10;94.87;384.90;10.50;159.81;2019;prms
9;aquisicao de registros de gaveta bruto dn 25 pol necessarios ao sistema de recalque da pgr;741.00;12.02;78.97;204.85;9.40;261.73;2020;pgr
12;reposicao de lampadas no ss da prsc cabo flexivel para uso em manutencao;587.33;11.97;60.03;185.55;9.80;216.53;2019;prsc
3;necessidade da prmsanta cruz do sul;1006.20;11.92;96.52;399.45;10.40;151.90;2020;prrs
1;aquisicao de duas passagens em camarote fechado para deslocamento dos servidores maspoli tadeu ramos e carlos azzi ao municipio de bagreno trecho belembagre;580.00;11.92;67.22;134.35;8.60;331.71;2018;
10;quadros  3 unidades;410.00;11.86;38.65;181.78;10.60;125.55;2016;
9;aquisicao de resgistro de gaveta dn 2 12 e conexoes em pvc soldavel necessarios a manutencao das instalacoes hidraulicas no barrilete do bloco f da pgr;863.00;11.81;100.41;204.85;8.60;321.28;2020;pgr
19;confeccao de suportes para fixar as novas luminarias externas em led nos postes existentes  16 un;768.00;11.69;75.39;308.73;10.20;148.77;2019;prr4 regiao
19;servico de mao de obra de verificacao e troca de lampadas e reatores em postes da iluminacao externa no patio da prm pelotas;890.00;11.68;90.59;308.73;9.80;188.28;2019;prrs
4;cabo para fazer chupeta nos veiculos da prsc que eventualmente estiverem com a bateria descarregada e carregador de bateria para os veiculos referidos;770.00;11.67;73.41;355.00;10.50;116.90;2020;prsc
1;necessidade de moldura para exposicao de mapas no gabinete dr pedro paulo grubits goncalves de oliveira;640.00;11.66;80.61;134.35;7.90;376.37;2019;prms
13;copia de planta e plotagem mono;566.60;11.56;56.32;230.50;10.10;145.81;2016;
4;conforme descrito e autorizado pelo ordenador de despesas no documento prro000278832020;975.60;11.55;99.60;355.00;9.80;174.82;2020;prro
12;03 pacote anilha wic color  100 porca gaiola 5mm  06 pacote abracadeira de nylon;354.40;11.51;33.45;185.55;10.60;91.00;2016;
8;aquisicao de 4 dispensers de alcool gel com acionamento por pedal para uso no ambito da prm blumenau;760.00;11.46;81.11;248.54;9.40;205.78;2020;prsc
4;servico de pequeno vulto;675.00;11.20;65.35;355.00;10.30;90.14;2021;prro
4;aquisicao de equipamento para medicao de temperatura;1100.00;11.20;120.21;355.00;9.10;209.86;2021;prr4 regiao
1;gravacao de audiencia no dia 04 de outubro de 2016;640.00;11.16;86.48;134.35;7.40;376.37;2016;
12;"4 unid de lampada ultra led bolinha  5 w
40 unid de luva uniduto reto aluminio 34 polegadas  tramontina
50 unid copex revestido 34 polegadas  tecnoflex

";452.12;11.14;46.72;185.55;9.70;143.66;2016;
12;"adesivo branco brilho a4  1 unidade
papel foto flossy 180 gr  5 unidades";403.50;10.97;40.97;185.55;9.80;117.46;2016;
18;servicos de empresa especializada em conserto e substituicao de placas de forro teto;840.00;10.97;100.83;228.78;8.30;267.17;2021;prba
5;compra para odontologia;1140.00;10.92;132.68;343.00;8.60;232.36;2020;pgr
15;aquisicao de uma porta de vidro e dobradica para reposicao da porta de entrada do predio quebrada durante temporais na regiao;771.00;10.87;85.72;268.50;9.00;187.15;2019;prrs
12;revestimento plastico para prtecao das botoeiras dos elevadores;717.00;10.86;90.04;185.55;8.00;286.42;2020;prpb
4;necessidade de asseio da frota inexistencia de contrato de manutencao veicular;760.00;10.84;78.62;355.00;9.70;114.08;2021;prrr
14;aquisicao de 30trinta fitas de demarcacao de solo para utilizar nos pisos de granito quando da realizacao de eventos em areas internas de edificiosede da pgr;795.00;10.77;81.95;384.90;9.70;106.55;2018;
19;p substituicao de reatores queimados em gabinete da prsc e uso em manutencoes da parte eletrica na prsc;698.82;10.76;73.82;308.73;9.50;126.36;2019;prsc
3;banners a serem utilizados na inauguracao do memorial do mpf na prr4;739.30;10.75;74.70;399.45;9.90;85.08;2019;prr4 regiao
14;aquisicao de materiais para confeccao de parede de dry wall e porta provisorioa para a biblioteca no segundo anmdar do predio sede da prpr;808.10;10.70;84.08;384.90;9.60;109.95;2021;prpr
1;solicitacao de servicos de cartorioreconhecimento de firma procurador chefe;562.00;10.68;74.70;134.35;7.50;318.31;2021;prsp
16;reforma do gabinete atico  torre 1;671.55;10.63;69.98;330.00;9.60;103.50;2019;prsc
10;confeccao de suporte extensor articulado em aco inox conforme detalhamento;565.00;10.61;66.42;181.78;8.50;210.82;2019;prr4 regiao
19;foram compradas 35trinta e cinco lampadas led tubular 9w com o objetivo de manutencao predial;664.65;10.55;71.02;308.73;9.40;115.29;2020;prrj
4;asseio da frota;830.00;10.54;90.47;355.00;9.20;133.80;2021;prrr
4;aquisicao de material de biosseguranca para atendimento da prms e prms vinculadas em conformidade com a nota tecnica n 0012020seprms;1948.40;10.49;324.31;355.00;6.00;448.85;2020;prms
15;colocacao de calco de borracha e regulagem das portas de vidro temperado;636.00;10.47;69.92;268.50;9.10;136.87;2017;
10;quadro cemar pvc ext br 16 din trif para atender a prm petropolis;388.40;10.44;41.98;181.78;9.30;113.66;2017;
17;instalacao eletrica de 09 refletores inclusive colocacao;800.00;10.43;84.46;415.15;9.50;92.70;2016;
9;para pagamento da prestacao de servicos de substituicao de troca de magueira do grupo gerador e colocacao de agua com aditivo especifico para o gerador;800.00;10.41;106.82;204.85;7.50;290.53;2021;prac
1;"aquisicao de toga de procurador regional republica
dr cicero augusto pujol correa
portal de pedidos 18237";590.00;10.39;84.18;134.35;7.00;339.15;2018;
12;aquisicao de tres canaletas de aluminio nas seguintes medidas 25x73x3000mm aquisicao de tres tampas para canaletas 73mm aquisicao de duas canaletas em pvc nas seguintes medidas 50x20x2000mm;545.88;10.34;64.97;185.55;8.40;194.20;2018;
4;compra urgente de material nao constante no almoxarifado da unidade;592.20;10.27;61.65;355.00;9.60;66.82;2020;pres
17;detector de metal com defeito;648.00;10.26;66.66;415.15;9.70;56.09;2018;
3;aquisicao de placas para a cerimonia de encerramento do curso de autoprotecao para membros realizado nos dias 8 e 9 de setembro na uniprf;869.90;10.18;96.57;399.45;9.00;117.77;2021;prsc
7;aquisicao de agua mineral sem contrato ou arp;754.00;10.08;88.75;292.50;8.50;157.78;2019;prmt
14;aquisicao de tintas e materiais acessorios para realizacao de pintura no gabinete da dra daniele cardos escobar e tambem a pintura demarcatoria das vagas de moto na garagem do subsolo da prsc;872.98;10.07;99.01;384.90;8.80;126.81;2021;prsc
9;uniao cassento conico bronze galv niple duplo galvanizada;431.34;10.01;48.23;204.85;8.90;110.56;2016;
17;reparode 02 aparelhos microondas marca lg e 01 aparelho da marca consul que se encontram comdefeito;665.00;10.00;70.69;415.15;9.40;60.18;2021;prba
